Uniprot ID,Protein Name,Gene Name,Function
Q12884,Prolyl endopeptidase FAP,FAP,"Cell surface glycoprotein serine protease that participates in extracellular matrix degradation and involved in many cellular processes including tissue remodeling, fibrosis, wound healing, inflammation and tumor growth. Both plasma membrane and soluble forms exhibit post-proline cleaving endopeptidase activity, with a marked preference for Ala/Ser-Gly-Pro-Ser/Asn/Ala consensus sequences, on substrate such as alpha-2-antiplasmin SERPINF2 and SPRY2 (PubMed:14751930, PubMed:16223769, PubMed:16480718, PubMed:16410248, PubMed:17381073, PubMed:18095711, PubMed:21288888, PubMed:24371721). Degrade also gelatin, heat-denatured type I collagen, but not native collagen type I and IV, vibronectin, tenascin, laminin, fibronectin, fibrin or casein (PubMed:9065413, PubMed:2172980, PubMed:7923219, PubMed:10347120, PubMed:10455171, PubMed:12376466, PubMed:16223769, PubMed:16651416, PubMed:18095711). Also has dipeptidyl peptidase activity, exhibiting the ability to hydrolyze the prolyl bond two residues from the N-terminus of synthetic dipeptide substrates provided that the penultimate residue is proline, with a preference for Ala-Pro, Ile-Pro, Gly-Pro, Arg-Pro and Pro-Pro (PubMed:10347120, PubMed:10593948, PubMed:16175601, PubMed:16223769, PubMed:16651416, PubMed:16410248, PubMed:17381073, PubMed:21314817, PubMed:24371721, PubMed:24717288). Natural neuropeptide hormones for dipeptidyl peptidase are the neuropeptide Y (NPY), peptide YY (PYY), substance P (TAC1) and brain natriuretic peptide 32 (NPPB) (PubMed:21314817). The plasma membrane form, in association with either DPP4, PLAUR or integrins, is involved in the pericellular proteolysis of the extracellular matrix (ECM), and hence promotes cell adhesion, migration and invasion through the ECM. Plays a role in tissue remodeling during development and wound healing. Participates in the cell invasiveness towards the ECM in malignant melanoma cancers. Enhances tumor growth progression by increasing angiogenesis, collagen fiber degradation and apoptosis and by reducing antitumor response of the immune system. Promotes glioma cell invasion through the brain parenchyma by degrading the proteoglycan brevican. Acts as a tumor suppressor in melanocytic cells through regulation of cell proliferation and survival in a serine protease activity-independent manner.By similarity"
Q13093,Platelet-activating factor acetylhydrolase,PLA2G7,"Lipoprotein-associated calcium-independent phospholipase A2 involved in phospholipid catabolism during inflammatory and oxidative stress response (PubMed:7700381, PubMed:8624782, PubMed:2040620, PubMed:16371369, PubMed:17090529, PubMed:10066756). At the lipid-aqueous interface, hydrolyzes the ester bond of fatty acyl group attached at sn-2 position of phospholipids (phospholipase A2 activity) (PubMed:2040620, PubMed:10504265). Specifically targets phospholipids with a short-chain fatty acyl group at sn-2 position (PubMed:2040620). Can hydrolyze phospholipids with long fatty acyl chains, only if they carry oxidized functional groups (PubMed:2040620, PubMed:8624782). Hydrolyzes and inactivates platelet-activating factor (PAF, 1-O-alkyl-2-acetyl-sn-glycero-3-phosphocholine), a potent proinflammatory signaling lipid that acts through PTAFR on various innate immune cells (PubMed:10504265, PubMed:10066756, PubMed:7592717, PubMed:11590221, PubMed:7700381, PubMed:18434304, PubMed:16371369, PubMed:8675689, PubMed:8624782). Hydrolyzes oxidatively truncated phospholipids carrying an aldehyde group at omega position, preventing their accumulation in low-density lipoprotein (LDL) particles and uncontrolled proinflammatory effects (PubMed:2040620, PubMed:7700381). As part of high-density lipoprotein (HDL) particles, can hydrolyze phospholipids having long-chain fatty acyl hydroperoxides at sn-2 position and protect against potential accumulation of these oxylipins in the vascular wall (PubMed:17090529). Catalyzes the release from membrane phospholipids of F2-isoprostanes, lipid biomarkers of cellular oxidative damage (PubMed:16371369).11 Publications"
Q13332,Receptor-type tyrosine-protein phosphatase S,PTPRS,"Cell surface receptor that binds to glycosaminoglycans, including chondroitin sulfate proteoglycans and heparan sulfate proteoglycan (PubMed:21454754). Binding to chondroitin sulfate and heparan sulfate proteoglycans has opposite effects on PTPRS oligomerization and regulation of neurite outgrowth. Contributes to the inhibition of neurite and axonal outgrowth by chondroitin sulfate proteoglycans, also after nerve transection. Plays a role in stimulating neurite outgrowth in response to the heparan sulfate proteoglycan GPC2. Required for normal brain development, especially for normal development of the pituitary gland and the olfactory bulb. Functions as tyrosine phosphatase (PubMed:8524829). Mediates dephosphorylation of NTRK1, NTRK2 and NTRK3 (By similarity). Plays a role in down-regulation of signaling cascades that lead to the activation of Akt and MAP kinases (By similarity). Down-regulates TLR9-mediated activation of NF-kappa-B, as well as production of TNF, interferon alpha and interferon beta (PubMed:26231120).By similarity"
Q13361,Microfibrillar-associated protein 5,MFAP5,"May play a role in hematopoiesis. In the cardiovascular system, could regulate growth factors or participate in cell signaling in maintaining large vessel integrity (By similarity). Component of the elastin-associated microfibrils (PubMed:8557636).By similarity"
Q14393,Growth arrest-specific protein 6,GAS6,"Ligand for tyrosine-protein kinase receptors AXL, TYRO3 and MER whose signaling is implicated in cell growth and survival, cell adhesion and cell migration. GAS6/AXL signaling plays a role in various processes such as endothelial cell survival during acidification by preventing apoptosis, optimal cytokine signaling during human natural killer cell development, hepatic regeneration, gonadotropin-releasing hormone neuron survival and migration, platelet activation, or regulation of thrombotic responses.2 Publications"
Q14515,SPARC-like protein 1,SPARCL1,By similarity
Q14767,Latent-transforming growth factor beta-binding protein 2,LTBP2,May play an integral structural role in elastic-fiber architectural organization and/or assembly.2 Publications
Q15113,Procollagen C-endopeptidase enhancer 1,PCOLCE,Binds to the C-terminal propeptide of type I procollagen and enhances procollagen C-proteinase activity.
Q15485,Ficolin-2,FCN2,"May function in innate immunity through activation of the lectin complement pathway. Calcium-dependent and GlcNAc-binding lectin. Enhances phagocytosis of S.typhimurium by neutrophils, suggesting an opsonic effect via the collagen region.2 Publications"
Q15582,Transforming growth factor-beta-induced protein ig-h3,TGFBI,Plays a role in cell adhesion (PubMed:8024701). May play a role in cell-collagen interactions (By similarity).By similarity
Q16627,C-C motif chemokine 14,CCL14,"Has weak activities on human monocytes and acts via receptors that also recognize MIP-1 alpha. It induces intracellular Ca2+ changes and enzyme release, but no chemotaxis, at concentrations of 100-1,000 nM, and is inactive on T-lymphocytes, neutrophils, and eosinophil leukocytes. Enhances the proliferation of CD34 myeloid progenitor cells. The processed form HCC-1(9-74) is a chemotactic factor that attracts monocytes, eosinophils, and T-cells and is a ligand for CCR1, CCR3 and CCR5.1 Publication"
Q16769,Glutaminyl-peptide cyclotransferase,QPCT,"Responsible for the biosynthesis of pyroglutamyl peptides. Has a bias against acidic and tryptophan residues adjacent to the N-terminal glutaminyl residue and a lack of importance of chain length after the second residue. Also catalyzes N-terminal pyroglutamate formation. In vitro, catalyzes pyroglutamate formation of N-terminally truncated form of APP amyloid-beta peptides [Glu-3]-amyloid-beta. May be involved in the N-terminal pyroglutamate formation of several amyloid-related plaque-forming peptides.3 Publications"
Q16853,Membrane primary amine oxidase,AOC3,Cell adhesion protein that participates in lymphocyte extravasation and recirculation by mediating the binding of lymphocytes to peripheral lymph node vascular endothelial cells in an L-selectin-independent fashion. Has semicarbazide-sensitive (SSAO) monoamine oxidase activity. May play a role in adipogenesis.4 Publications
Q6EMK4,Vasorin,VASN,May act as an inhibitor of TGF-beta signaling.1 Publication
Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2,LILRB2,"Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C, HLA-G and HLA-F alleles (PubMed:11169396, PubMed:12853576, PubMed:16455647, PubMed:20448110, PubMed:27859042). Involved in the down-regulation of the immune response and the development of tolerance. Recognizes HLA-G in complex with B2M/beta-2 microglobulin and a nonamer self-peptide (peptide-bound HLA-G-B2M) triggering differentiation of type 1 regulatory T cells and myeloid-derived suppressor cells, both of which actively maintain maternal-fetal tolerance (PubMed:20448110, PubMed:27859042, PubMed:16455647). Competes with CD8A for binding to class I MHC antigens. Inhibits FCGR1A-mediated phosphorylation of cellular proteins and mobilization of intracellular calcium ions (PubMed:11875462, PubMed:12853576, PubMed:9548455, PubMed:9842885).8 Publications"
Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1,LILRB1,"Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C, HLA-G and HLA-F alleles (PubMed:16455647, PubMed:28636952). Receptor for H301/UL18, a human cytomegalovirus class I MHC homolog. Ligand binding results in inhibitory signals and down-regulation of the immune response. Engagement of LILRB1 present on natural killer cells or T-cells by class I MHC molecules protects the target cells from lysis. Interaction with HLA-B or HLA-E leads to inhibition of FCER1A signaling and serotonin release. Inhibits FCGR1A-mediated phosphorylation of cellular proteins and mobilization of intracellular calcium ions (PubMed:11907092, PubMed:9285411, PubMed:9842885). Recognizes HLA-G in complex with B2M/beta-2 microglobulin and a nonamer self-peptide (PubMed:16455647). Upon interaction with peptide-bound HLA-G-B2M complex, triggers secretion of growth-promoting factors by decidual NK cells (PubMed:29262349, PubMed:19304799). Reprograms B cells toward an immune suppressive phenotype (PubMed:24453251).8 Publications"
Q96H15,T-cell immunoglobulin and mucin domain-containing protein 4,TIMD4,Phosphatidylserine receptor that enhances the engulfment of apoptotic cells. Involved in regulating T-cell proliferation and lymphotoxin signaling. Ligand for HAVCR1/TIMD1 (By similarity).By similarity
Q96KN2,Beta-Ala-His dipeptidase,CNDP1,"Zn2+Search proteins in UniProtKB for this molecule.Search chemical reactions in Rhea for this molecule.See the description of this molecule in ChEBI.1 PublicationManual assertion based on experiment iniRef.10""Crystal structure of human carnosine dipeptidase 1.""Structural genomics consortium (SGC)Submitted (JUL-2011) to the PDB data bankCited for: X-RAY CRYSTALLOGRAPHY (2.26 ANGSTROMS) OF 27-507 IN COMPLEX WITH ZINC IONS, COFACTOR."
